-a0,-a1,-a2,events,game,ml_french_qcm-0-a0,ml_french_qcm-0-a2,ml_french_qcm-0-a3,ml_french_qcm-0-b,ml_french_qcm-0-duration,ml_french_qcm-0-nbvisit,ml_french_qcm-1-a1,ml_french_qcm-1-a2,ml_french_qcm-1-a3,ml_french_qcm-1-b,ml_french_qcm-1-duration,ml_french_qcm-1-nbvisit,ml_french_qcm-10-a0,ml_french_qcm-10-a1,ml_french_qcm-10-a3,ml_french_qcm-10-b,ml_french_qcm-10-duration,ml_french_qcm-10-nbvisit,ml_french_qcm-11-a0,ml_french_qcm-11-a1,ml_french_qcm-11-a2,ml_french_qcm-11-a3,ml_french_qcm-11-b,ml_french_qcm-11-duration,ml_french_qcm-11-nbvisit,ml_french_qcm-12-a0,ml_french_qcm-12-a1,ml_french_qcm-12-a2,ml_french_qcm-12-a3,ml_french_qcm-12-b,ml_french_qcm-12-duration,ml_french_qcm-12-nbvisit,ml_french_qcm-13-a0,ml_french_qcm-13-a2,ml_french_qcm-13-a3,ml_french_qcm-13-b,ml_french_qcm-13-duration,ml_french_qcm-13-nbvisit,ml_french_qcm-14-a1,ml_french_qcm-14-a3,ml_french_qcm-14-b,ml_french_qcm-14-duration,ml_french_qcm-14-nbvisit,ml_french_qcm-2-a0,ml_french_qcm-2-a2,ml_french_qcm-2-a3,ml_french_qcm-2-b,ml_french_qcm-2-duration,ml_french_qcm-2-nbvisit,ml_french_qcm-3-a1,ml_french_qcm-3-a2,ml_french_qcm-3-a3,ml_french_qcm-3-a4,ml_french_qcm-3-a5,ml_french_qcm-3-b,ml_french_qcm-3-duration,ml_french_qcm-3-nbvisit,ml_french_qcm-4-a0,ml_french_qcm-4-a1,ml_french_qcm-4-a2,ml_french_qcm-4-a4,ml_french_qcm-4-b,ml_french_qcm-4-duration,ml_french_qcm-4-nbvisit,ml_french_qcm-5-a0,ml_french_qcm-5-a1,ml_french_qcm-5-a2,ml_french_qcm-5-a4,ml_french_qcm-5-b,ml_french_qcm-5-duration,ml_french_qcm-5-nbvisit,ml_french_qcm-6-a0,ml_french_qcm-6-a1,ml_french_qcm-6-a2,ml_french_qcm-6-a3,ml_french_qcm-6-b,ml_french_qcm-6-duration,ml_french_qcm-6-nbvisit,ml_french_qcm-7-a3,ml_french_qcm-7-a4,ml_french_qcm-7-a5,ml_french_qcm-7-a6,ml_french_qcm-7-b,ml_french_qcm-7-duration,ml_french_qcm-7-nbvisit,ml_french_qcm-8-a1,ml_french_qcm-8-a2,ml_french_qcm-8-a3,ml_french_qcm-8-b,ml_french_qcm-8-duration,ml_french_qcm-8-nbvisit,ml_french_qcm-9-a0,ml_french_qcm-9-a1,ml_french_qcm-9-a2,ml_french_qcm-9-a3,ml_french_qcm-9-b,ml_french_qcm-9-duration,ml_french_qcm-9-nbvisit,next,on,on-a2,person_id,qn,qtime,simple_french_qcm-0-a0,simple_french_qcm-0-a1,simple_french_qcm-0-a2,simple_french_qcm-0-b,simple_french_qcm-0-duration,simple_french_qcm-0-nbvisit,simple_french_qcm-1-a1,simple_french_qcm-1-a2,simple_french_qcm-1-b,simple_french_qcm-1-duration,simple_french_qcm-1-nbvisit,simple_french_qcm-2-a0,simple_french_qcm-2-a1,simple_french_qcm-2-a2,simple_french_qcm-2-a3,simple_french_qcm-2-b,simple_french_qcm-2-duration,simple_french_qcm-2-nbvisit,simple_french_qcm-3-a0,simple_french_qcm-3-a2,simple_french_qcm-3-a3,simple_french_qcm-3-a4,simple_french_qcm-3-b,simple_french_qcm-3-duration,simple_french_qcm-3-nbvisit,simple_french_qcm-4-a0,simple_french_qcm-4-a1,simple_french_qcm-4-a2,simple_french_qcm-4-a3,simple_french_qcm-4-b,simple_french_qcm-4-duration,simple_french_qcm-4-nbvisit,simple_french_qcm-5-a0,simple_french_qcm-5-a1,simple_french_qcm-5-a2,simple_french_qcm-5-a4,simple_french_qcm-5-b,simple_french_qcm-5-duration,simple_french_qcm-5-nbvisit,simple_french_qcm-6-a0,simple_french_qcm-6-a1,simple_french_qcm-6-a2,simple_french_qcm-6-a3,simple_french_qcm-6-a4,simple_french_qcm-6-a5,simple_french_qcm-6-b,simple_french_qcm-6-duration,simple_french_qcm-6-nbvisit,simple_french_qcm-7-a0,simple_french_qcm-7-a1,simple_french_qcm-7-a2,simple_french_qcm-7-b,simple_french_qcm-7-duration,simple_french_qcm-7-nbvisit,simple_french_qcm-8-ANS,simple_french_qcm-8-b,simple_french_qcm-8-duration,simple_french_qcm-8-nbvisit,time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32606f02fa0df6aac111,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 17:57:04.098
,,,"-a2,on-a0,on-a0,on-a0,on-a1,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,c241c15008614ea67480,5,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,on,on,,ok,1 days 00:00:00.000000000,0.5,,,,,,,,,,,,,,,,,,,,2018-12-12 17:57:28.849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c241c15008614ea67480,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 17:57:28.912
,,,"-a3,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,32606f02fa0df6aac111,6,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,,,ok,1 days 00:00:00.000000000,0.5,,,,,,,,,,,2018-12-12 17:57:47.349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32606f02fa0df6aac111,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 17:57:47.381
,,,"-a2,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,32606f02fa0df6aac111,7,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,ok,0 days 00:00:06.390000000,1.0,,,,,2018-12-12 17:57:53.771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c241c15008614ea67480,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 17:57:53.803
,,,,simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,c241c15008614ea67480,8,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, thalès,ok,0 days 00:00:04.390000000,1.0,2018-12-12 17:57:58.193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:11:55.591
,,,"-a0,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4b2cc1988785a7526ca1,0,end,on,,,ok,0 days 00:00:06.904000000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:02.495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:02.511
,,,"-a2,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4b2cc1988785a7526ca1,1,end,,,,,,,,on,skip,0 days 00:00:20.729000000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:23.240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:23.272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:27.038
,,,"-a2,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4b2cc1988785a7526ca1,1,end,,,,,,,,on,ok,0 days 00:00:24.838000000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:31.147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:31.194
,,,"-a2,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4b2cc1988785a7526ca1,2,end,,,,,,,,,,,,,,on,,ok,0 days 00:00:31.978000000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:59.406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:12:59.437
,,,"-a0,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4b2cc1988785a7526ca1,3,end,,,,,,,,,,,,,,,,,,,on,,,,ok,0 days 00:00:19.246000000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:13:18.683
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:13:18.746
,,,"-a2,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4b2cc1988785a7526ca1,4,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,,ok,0 days 00:00:21.230000000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:13:39.976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:13:39.991
,,,"-a1,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,4b2cc1988785a7526ca1,5,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,,,ok,0 days 00:00:10.153000000,1.0,,,,,,,,,,,,,,,,,,,,2018-12-12 18:13:50.144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:13:50.175
,,,"-a2,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,4b2cc1988785a7526ca1,6,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,,,,ok,0 days 00:00:20.314000000,1.0,,,,,,,,,,,2018-12-12 18:14:10.489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:14:10.520
,,,"-a2,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,4b2cc1988785a7526ca1,7,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,ok,0 days 00:00:17.141000000,1.0,,,,,2018-12-12 18:14:27.661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b2cc1988785a7526ca1,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:14:27.692
,,,,simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,4b2cc1988785a7526ca1,8,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Astérix et Cléopâtre,ok,0 days 00:03:02.506000000,1.0,2018-12-12 18:17:30.198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753a507a9205e4c196fa,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:42:16.958
,,,"-a1,on-a0,on-a1,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,753a507a9205e4c196fa,0,end,on,,,ok,0 days 00:00:16.530000000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:42:33.488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753a507a9205e4c196fa,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:42:33.615
,,,"-a0,on-a1,on-a0,on",simple_french_qcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,753a507a9205e4c196fa,1,end,,,,,,,on,,ok,0 days 00:00:14.010000000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:42:47.625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753a507a9205e4c196fa,,begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-12 18:42:47.719
